Product,Link,,Key Ingredients
Ashwagandha Capsules,https://kapiva.in/solution/daily-wellness/ashwagandha-gold-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Swarna Bhasma, Shilajit, Gokshura, Black Musli, Nagori Ashwagandha"
Brahmi Capsules,https://kapiva.in/de-stress-and-memory-boosting/kapiva-brahmi-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Brahmi
Moringa Capsules,https://kapiva.in/daily-wellness/moringa-capsule/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Moringa
Noni Juice,https://kapiva.in/detox/kapiva-noni-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Shilajit Capsules,https://kapiva.in/mens-health/shilajit-gold-capsules-60-cap/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Shilajit, Nagori Ashwagandha, Safed Musli, Gokshura, Green Coffee Beans"
Ashwagandha + Destress Capsules,https://kapiva.in/solution/daily-wellness/ashwagandha-gold-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Swarna Bhasma, Shilajit, Gokshura, Black Musli, Nagori Ashwagandha"
Curcumin + Anti-Allergy Capsules,https://kapiva.in/immunity/kapiva-curcumin-giloy-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Garcinia + Slimming Capsules,https://kapiva.in/weight-loss/kapiva-garcinia-slimming-capsules/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Garcina, Green Coffee Beans"
Milk Thistle + Anti-Aging Capsules,https://kapiva.in/skin-hair/kapiva-milk-thistle-anti-aging-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Turmeric
Neem Glow Capsules,https://kapiva.in/skin-hair/kapiva-neem-glow-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Neem, Turmeric"
Shilajeet + Stamina Capsules,https://kapiva.in/mens-health/kapiva-shilajeet-stamina-capsules/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Shilajeet, Safed Musli"
Cardio Care Capsules,https://kapiva.in/blood-pressure/kapiva-cardio-care-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Guggul
Cholest Fit Capsules,https://kapiva.in/blood-pressure/kapiva-cholest-fit-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Arjuna, Garlic"
Dia Free Capsules,https://kapiva.in/diabetes-care/kapiva-dia-free-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Karela, Giloy, Jamun Seeds"
Get Slim Capsules,https://kapiva.in/weight-loss/kapiva-get-slim-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Garcina, Methi, Haritaki, Ginger"
Himalayan Shialajit Resin,https://kapiva.in/mens-health/kapiva-himalayan-shilajit-resin-20g/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Shilajeet
No Stress Capsules,https://kapiva.in/de-stress-and-memory-boosting/kapiva-no-stress-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Ashwagandha
Sound Sleep Capsules,https://kapiva.in/de-stress-and-memory-boosting/kapiva-sound-sleep-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Ashwagandha, Tagar, Brahmi"
Spirulina Plus Capsules,https://kapiva.in/strength/kapiva-spirulina-plus-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Spirulina
Vigor Max Capsules,https://kapiva.in/mens-health/kapiva-vigor-max-60-capsules/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Ashwagandha, Shilajeet"
Spirulina + Nutrition Capsules,https://kapiva.in/strength/kapiva-spirulina-plus-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Spirulina
Him Foods Endurance,https://kapiva.in/solution/mens-care/him-foods-endurance-60-capsules/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Ashwagandha, Shilajeet"
Staminup,https://kapiva.in/solution/mens-care/staminup-60-capsules/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Safed Musli, Kaunch Beej"
Testosterone Boost,https://kapiva.in/himfoods-testo-boost/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Shilajeet, Safed Musli"
Him Foods Shilajit Gold Resin,https://kapiva.in/mens-health/him-foods-shilajit-gold-20g/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Nagori Ashwagandha, Black Musli, Swarna Bhasma, shilajit, Haldi, Gokshura"
Ashwagandha Gold Capsules,https://kapiva.in/solution/daily-wellness/ashwagandha-gold-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Swarna Bhasma, Shilajit, Gokshura, Black Musli, Nagori Ashwagandha"
Shilajit Gold Capsules,https://kapiva.in/mens-health/shilajit-gold-capsules-60-cap/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Shilajit, Nagori Ashwagandha, Safed Musli, Gokshura, Green Coffee Beans"
Pcos Care Capsules,https://kapiva.in/solution/womens-care/Her-Foods-pcos-care/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Methika, Vijayasar, Gajar Beej"
Her Foods Uti Care Capsules,https://kapiva.in/solution/womens-care/her-foods-uti-care/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Punarnava, Gokshura, Shweta Parpati, Guggul"
Ayur Foods Triphala Plus Capsules,https://kapiva.in/daily-wellness/triphala-capsule/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Triphala, Amla"
Ayur Foods Gokshura Plus Capsules,https://kapiva.in/daily-wellness/gokshura-capsule/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Gokshura
Ayur Foods Moringa Plus Capsules,https://kapiva.in/daily-wellness/moringa-capsule/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Moringa
Tulsi Ark,https://kapiva.in/immunity/kapiva-pure-tulsi-ark/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Ark Drops,https://kapiva.in/immunity/kapiva-pure-tulsi-ark/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Rose Water,https://kapiva.in/solution/skin/skin-rituals-rose-water/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Organic Damask Roses
Ghee Kumkumadi Body Butter,https://kapiva.in/solution/skin-care/ghee-kumkumadi-body-butter/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Shata Dhauta Ghee, Raktachandan, Kumkumadi Tailam, Almond Oil"
Aloe + Garcinia Juice,https://kapiva.in/weight-loss/kapiva-aloe-garcinia-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Aloe Vera, Garcinia"
Immune Care Juice,https://kapiva.in/immunity/kapiva-immune-care-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Giloy
Karela Jamun Juice,https://kapiva.in/diabetes-care/kapiva-karela-jamun-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Karela, Jamun Seeds"
Slim Shake,https://kapiva.in/weight-loss/kapiva-meal-replacement-slim-shake-chocolate-500g/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Garcina, Green Coffee Beans, Cinnamon, Apple Cider Vinegar"
Amla + Giloy Juice,https://kapiva.in/immunity/kapiva-amla-giloy-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Amla
Wheat Grass Juice,https://kapiva.in/detox/kapiva-wheat-grass-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Wheatgrass
Neem Juice,https://kapiva.in/diabetes-care/kapiva-neem-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Neem
Aloe Vera Juice,https://kapiva.in/skin-hair/kapiva-aloe-vera-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Aloe Vera
Dia Free Juice,https://kapiva.in/kapiva-dia-free-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Karela, Jamun, Amla"
Noni Juice,https://kapiva.in/detox/kapiva-noni-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Get Slim Juice,https://kapiva.in/weight-loss/kapiva-get-slim-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Daruharidra, Katuki, Gokshura, Madhunashini, Amla"
Aloe + Shilajeet Juice,https://kapiva.in/skin-hair/kapiva-aloe-vera-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Aloe Vera
Aloe Vera Skin Gel,https://kapiva.in/skin-hair/kapiva-aloe-vera-skin-gel-500gms/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Aloe Vera
Amla Juice,https://kapiva.in/immunity/kapiva-amla-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Amla
Tulsi Giloy Juice,https://kapiva.in/immunity/kapiva-tulsi-giloy-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Artho Sure Juice,https://kapiva.in/artho-care/kapiva-artho-sure-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Giloy, Ashwagandha, Kutki"
Get Slim Green Tea,https://kapiva.in/solution/weight-management/get-slim-tea/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Green Tea, Garcinia, Ginger, Cinnamon"
Wild Giloy Juice,https://kapiva.in/immunity/kapiva-tulsi-giloy-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Organic Apple Cider Vinegar,https://kapiva.in/weight-loss/kapiva-organic-apple-cider-vinegar-500-ml/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Vegan Protein,https://kapiva.in/daily-diet/kapiva-vegan-protein-chocolate-1-kg/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Virgin Coconut Oil,https://kapiva.in/blood-pressure/kapiva-virgin-coconut-oil-500-ml-pack-of-2/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Aloe + Amla Juice,https://kapiva.in/skin-hair/kapiva-aloe-amla-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Amla
Digesti Care Juice,https://kapiva.in/solution/digestion/digesti-care-juice/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Jeera, Ajwain, Hing, Dhaniya, Amla"
Organic Gulkand,https://kapiva.in/daily-diet/kapiva-organic-gulkand-300gm/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Indian Damask Rose , Organic Mishri"
Organic Ghee,https://kapiva.in/artho-care/kapiva-organic-cow-ghee-500-ml/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Cow Milk
Organic Cold Pressed Mustard Oil,https://kapiva.in/solution/daily-diet/organic-mustard-oil-1l-pack-of-2/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Hair Care Juice,https://kapiva.in/skin-hair/kapiva-hair-care-juice/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Noni, Amla, Ashwagandha"
Raw Honey ( Madhu),https://kapiva.in/daily-diet/kapiva-raw-honey-madhu-500-grams/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Honey
Chayawanprash,https://kapiva.in/immunity/kapiva-chyawanprash-500-grams/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Amla, Honey"
Period Care Juice,https://kapiva.in/womens-health/kapiva-period-care-juice/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Ashoka, Mulethi, Shatavari, Noni, Lodhra"
Skin Foods Glow Mix,https://kapiva.in/solution/skin/skin-foods-glow-mix/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Rose, Shatavari, Pomegranate, Mulethi"
Acne Ease Juice,https://kapiva.in/skin-hair/kapiva-acne-ease-juice/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Manjistha, Turmeric, Neem, Aloe Vera"
Bp Care Juice,https://kapiva.in/bp-care-juice-with-10-potent-herbs/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Arjuna, Guggul, Shankhpushpi"
Vigor Max Juice,https://kapiva.in/mens-health/kapiva-vigor-max-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Ashwagandha, Kaunch Beej, Safed Musli"
Kashmiri Kesar,https://kapiva.in/solution/daily-wellness/kashmiri-mongra-kesar-1g/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Kesar
Triphala Juice,https://kapiva.in/digestion/kapiva-triphala-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Amla
Apple Cider Vinegar,https://kapiva.in/weight-loss/kapiva-apple-cider-vinegar-500-ml/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Himalayan Apple
Wild Honey,https://kapiva.in/daily-diet/kapiva-raw-honey-madhu-500-grams/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Honey
Liver Care Juice,https://kapiva.in/solution/detox/liver-care-juice/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Amla
Organic Sesame Oil,https://kapiva.in/daily-diet/kapiva-organic-sesame-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Organic Sesame Seeds
Bhringraj Hair Nourish Oil,https://kapiva.in/hair/bhringraj-hair-nourish-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Hibiscus, Bhringraj, Brahmi Oil"
Hair Rituals Tulsi Anti Hairfall Oil,https://kapiva.in/hair/tulsi-anti-hair-fall-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Tulsi, Bhringraj, Mulethi"
Wholesome Wellness Combo,https://kapiva.in/detox/kapiva-wholesome-wellness-combo/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Wheatgrass, Amla"
Stone Go Juice,https://kapiva.in/kidney-stone/kapiva-stone-go-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Svastha Green Tea Assortment Pack,https://kapiva.in/daily-diet/kapiva-svastha-good-health-green-tea-assortment-pack-20-tea-bags/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Ashwagandha, Garcinia"
Get Slim Mix,https://kapiva.in/weight-loss/get-slim-mix/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Green Coffee Beans, Cinnamon, Apple Cider Vinegar, Ginger"
Ashwagandha Anti Aging Face Oil,https://kapiva.in/solution/skin-care/ashwagandha-anti-aging-face-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Ashwagandha Oil, Bakuchi Oil, Apricot Oil, Chirata Actives"
Kumkumadi Glow Face Oil,https://kapiva.in/solution/skin-care/kumkumadi-glow-face-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Kumkumadi Tailam, Jojoba Seed oil, Chirata Actives, Green Tea"
Aloe Rose Gel,https://kapiva.in/solution/aloe-rose-gel/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Aloe Vera, Rose"
Skin Rituals Aloe Rose Gel,https://kapiva.in/solution/aloe-rose-gel/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Aloe Vera, Rose"
Hair Rituals Tulsi Anti-Hairfall Shampoo,https://kapiva.in/solution/hair-care/tulsi-anti-hairfall-shampoo/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Tulsi, Coconut"
Skin Rituals Ghee Kumkumadi Body Lotion,https://kapiva.in/solution/skin-care/ghee-kumkumadi-body-lotion/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Shata Dhauta Ghee, Kumkumadi Tailam, Raktachandan, Almond Oil"
Skin Rituals Tulsi Anti-Acne Face Wash,https://kapiva.in/solution/skin/acne-control-tulsi-face-wash/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Panch Tulsi, Green Tea, Neem"
Bhringraj Hair Nourish Mask,https://kapiva.in/solution/hair-care/bhringraj-hair-nourish-mask/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Bhringraj, Hibiscus, Methi"
Skin Rituals Kumkumadi Glow Face Wash,https://kapiva.in/solution/skin/glow-kumkumadi-face-wash/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Kumkumadi Tailam, Turmeric, Manjistha"
Himalayan Shialajit Resin,https://kapiva.in/mens-health/kapiva-himalayan-shilajit-resin-20g/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Shilajeet
Juice Rotation Starter Pack,https://kapiva.in/immunity/kapiva-juice-rotation-starter-pack/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Giloy, Aloe Vera, Wheatgrass, Amla"
Tulsi Gilloy Juice,https://kapiva.in/immunity/kapiva-tulsi-giloy-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Aloe Vera Sanitizer,https://kapiva.in/skin-hair/kapiva-aloe-vera-skin-gel-500gms/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Aloe Vera
Neem Comb,https://kapiva.in/solution/hair-care/neem-comb/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Neem Wood
Pure Foods Organic Gulkand,https://kapiva.in/daily-diet/kapiva-organic-gulkand-300gm/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Indian Damask Rose , Organic Mishri"
Coconut Oil,https://kapiva.in/blood-pressure/kapiva-virgin-coconut-oil-500-ml-pack-of-2/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Neem Oil,https://kapiva.in/skin-hair/neem-power-combo-kapiva-neem-juice-1l-pack-of-2/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Neem
Neem Glow Oil,https://kapiva.in/skin-hair/kapiva-neem-glow-capsules-60-caps/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Neem, Turmeric"
Onion Oil,https://kapiva.in/solution/hair/onion-brahmi-hair-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Red Onion, Apple Cider Vinegar, Brahmi"
Amla Hair Oil,https://kapiva.in/skin-hair/kapiva-hair-care-juice/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Noni, Amla, Ashwagandha"
Skin Rituals Ashwagandha Anti-Aging Face Oil,https://kapiva.in/solution/skin-care/ashwagandha-anti-aging-face-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Ashwagandha Oil, Bakuchi Oil, Apricot Oil, Chirata Actives"
Hair Rituals Curry Leaf Grey Control Hair Oil,https://kapiva.in/solution/hair-care/curry-leaf-grey-control-hair-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Curry Leaf, Moong Dal, Shikakai"
Hair Rituals Onion Brahmi Hair Oil,https://kapiva.in/solution/hair/onion-brahmi-hair-oil/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Red Onion, Apple Cider Vinegar, Brahmi"
Triphala Juice,https://kapiva.in/digestion/kapiva-triphala-juice-1l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Amla
Wheat Grass Powder,https://kapiva.in/detox/kapiva-wheat-grass-juice-1-l/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,Wheatgrass
Plant Protein,https://kapiva.in/daily-diet/kapiva-vegan-protein-chocolate-1-kg/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,
Skin Food Glow Powder,https://kapiva.in/solution/skin/skin-foods-glow-mix/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Rose, Shatavari, Pomegranate, Mulethi"
Dia Foods Green Tea,https://kapiva.in/diabetes-care/dia-free-green-tea-45g/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Jamun Seeds, Green Tea, Methi Seeds, Vijaysar"
Hair Foods Hair Fall Ease Gummies (Male),https://kapiva.in/solution/hair/hair-gummies-men-60-pack/?utm_source=chatbot&utm_medium=whatsapp&utm_campaign=inhousebot,,"Bhringraj, Hibiscus, Sesbania"
